value,label
582,MOB3C
583,ATPAF1
584,TEX38
585,EFCAB14
586,CYP4B1
587,CYP4A11
588,CYP4X1
589,CYP4Z1
590,CYP4A22
591,PDZK1IP1
592,STIL
593,CMPK1
594,FOXE3
595,FOXD2
596,TRABD2B
597,SLC5A9
598,SPATA6
599,AGBL4
600,BEND5
601,ELAVL4
602,DMRTA2
603,FAF1
604,CDKN2C
605,C1orf185
606,RNF11
607,TTC39A
608,EPS15
609,OSBPL9
610,NRDC
611,RAB3B
612,TXNDC12
613,KTI12
614,BTF3L4
615,ZFYVE9
616,CC2D1B
617,ORC1
618,PRPF38A
619,TUT4
620,GPX7
621,SHISAL2A
622,COA7
623,ZYG11B
624,ZYG11A
625,ECHDC2
626,SCP2
627,PODN
628,SLC1A7
629,CPT2
630,CZIB
631,LRP8
632,DMRTB1
633,GLIS1
634,NDC1
635,YIPF1
636,DIO1
637,HSPB11
638,LRRC42
639,LDLRAD1
640,TMEM59
641,TCEANC2
642,CDCP2
643,CYB5RL
644,SSBP3
645,ACOT11
646,FAM151A
647,MROH7
648,PARS2
649,TTC22
650,LEXM
651,DHCR24
652,TMEM61
653,BSND
654,PCSK9
655,USP24
656,PLPP3
657,PRKAA2
658,FYB2
659,C8A
660,C8B
661,DAB1
662,OMA1
663,TACSTD2
664,MYSM1
665,JUN
666,FGGY
667,HOOK1
668,CYP2J2
669,C1orf87
670,NFIA
671,TM2D1
672,PATJ
673,L1TD1
674,KANK4
675,USP1
676,DOCK7
677,ANGPTL3
678,ATG4C
679,FOXD3
680,ALG6
681,ITGB3BP
682,EFCAB7
683,PGM1
684,ROR1
685,UBE2U
686,CACHD1
687,RAVER2
688,JAK1
689,AK4
690,DNAJC6
691,LEPROT
692,LEPR
693,PDE4B
694,SGIP1
695,TCTEX1D1
696,INSL5
697,WDR78
698,MIER1
699,SLC35D1
700,C1orf141
701,IL23R
702,IL12RB2
703,SERBP1
704,GADD45A
705,GNG12
706,DIRAS3
707,WLS
708,RPE65
709,DEPDC1
710,LRRC7
711,LRRC40
712,SRSF11
713,ANKRD13C
714,HHLA3
715,CTH
716,PTGER3
717,ZRANB2
718,NEGR1
719,LRRIQ3
720,FPGT
721,TNNI3K
722,LRRC53
723,ERICH3
724,CRYZ
725,TYW3
726,LHX8
727,SLC44A5
728,ACADM
729,RABGGTB
730,MSH4
731,ASB17
732,ST6GALNAC3
733,ST6GALNAC5
734,PIGK
735,AK5
736,AC118549.1
737,USP33
738,MIGA1
739,NEXN
740,FUBP1
741,DNAJB4
742,GIPC2
743,PTGFR
744,IFI44L
745,IFI44
746,ADGRL4
747,ADGRL2
748,TTLL7
749,PRKACB
750,SAMD13
751,DNASE2B
752,RPF1
753,GNG5
754,SPATA1
755,CTBS
756,LPAR3
757,MCOLN2
