"X","Y"
13731,8622
10961,14862
12734,21678
12727,14135
18284,18772
21056,13983
8437,15735
18278,12390
9955,18924
6419,16317
13985,9927
16265,19064
16006,12247
7175,15301
15497,7315
8442,20376
11966,10219
19541,13404
14498,18920
15255,18775
12724,11234
5660,14432
15749,6880
16253,6589
9449,18055
11976,20953
14493,13989
10961,15732
19797,17900
17780,20223
9441,8771
6667,11820
7932,14865
10961,15442
13234,16456
19793,13839
14995,10217
17518,9344
6161,10660
10458,17473
12983,18632
13734,12104
13230,12394
20296,10937
15246,8621
9198,19070
17775,14131
18028,15726
10452,10511
9442,9932
10705,11526
10198,9206
13487,17761
13489,19501
5659,13561
16770,19934
13737,14714
10455,13412
13478,7607
16001,6444
9700,16749
20050,18045
8186,16750
13487,17181
14495,15729
13984,9057
18534,16886
16760,8039
17770,8619
16259,12972
8943,16024
14498,19210
10710,16748
10454,12542
13230,12104
13489,19792
7171,10369
8432,9642
13231,13845
8939,11673
11966,10510
15760,19354
9948,11962
18529,11374
20297,12678
14237,9492
8181,11238
7172,12400
11468,17473
15501,11667
17270,13841
13485,14860
6168,17622
11209,10075
18787,16741
16766,14712
11721,18778
12474,13700
20549,12242
10714,21390
14499,20371
18536,18627
15257,21095
5659,13271
15509,20370
14999,14568
16012,18339
9445,13703
11716,13266
13988,13119
21057,16013
11720,17617
14496,17180
9197,18490
10205,16748
19540,12533
8186,17040
12469,8478
14238,10362
16005,10796
7431,19507
7927,9643
11217,19358
9703,19360
13479,8768
20802,12387
9194,15009
6923,15446
11716,12976
11206,7174
15502,12537
20048,16304
19537,8762
12226,19067
17265,8329
17776,16161
7679,14140
13736,13264
7429,17186
19540,13114
13738,15875
13480,9638
14495,16309
19285,9197
15508,19790
20296,11227
10705,10946
18781,10068
16014,21240
18535,17756
7178,18202
20046,13984
15750,8040
18029,16306
14747,15874
10209,20810
19794,14709
12219,10944
6921,13705
8188,18491
12473,12250
17519,11085
12723,10364
14746,14133
19033,10213
10206,17329
12976,10218
11217,18778
18285,19932
16257,10361
14747,15584
10704,10075
10461,20375
8936,9062
18032,19787
11469,18343
13227,8623
12474,13410
6672,16752
17013,8764
10964,18633
18782,11229
11460,8769
10455,14282
11975,20083
14243,15874
12222,14716
9451,19795
16516,18338
12732,20227
18280,15291
19544,16885
7176,16751
12980,15150
12219,10654
17018,14857
10204,15008
10208,19649
17021,18628
12475,15151
19541,13694
17275,20223
11213,14717
6416,13125
16765,14132
12729,17036
19791,10938
19544,17465
19290,15000
19543,16015
13732,8912
7675,9498
9702,19070
6922,14285
16256,8910
18786,16451
9193,14138
16508,8475
8436,13704
10960,13702
9450,19505
9699,15008
19032,9053
13991,16890
8182,12399
17770,8909
9199,20231
9704,21100
14488,7606
15756,15003
11718,15297
18022,8183
11717,14136
7175,15591
15256,19645
19286,10938
17269,13551
8437,15154
15502,12827
9199,20521
11470,19793
7422,8773
11711,7464
16262,16163
7425,12254
17271,15292
8943,16314
13736,14134
19789,9197
19545,18626
11460,8479
7683,18201
16004,10216
17019,16017
10959,12831
16264,17903
16506,7024
16007,13117
15751,8911
7934,16896
12983,18051
8683,8337
14750,19065
17269,13261
13234,17326
14742,9492
14496,16599
14244,17905
10965,19214
15254,17904
21053,11372
8685,9787
9448,17184
14242,15294
17526,18047
15755,13552
9192,13268
9190,10077
6417,14286
11463,11670
7677,12109
9195,16459
11722,19938
19039,17176
14487,6736
18534,16306
17264,7749
8433,10513
12726,13845
16267,21095
13482,11669
15246,9201
16511,11956
20295,10067
7174,13850
5911,13416
13488,18631
14489,8767
14997,13118
19036,13404
8939,12543
16261,14712
6161,10080
9197,18780
13234,16746
8179,9207
9446,14863
16514,15727
16263,17323
13992,17760
14746,14423
17270,14711
18788,18771
11711,7754
11714,10945
19287,11518
13740,18486
6922,13995
18779,8037
10461,20955
14997,12538
10703,8625
6923,15736
12984,20082
12469,8188
9946,9641
8178,8337
11964,8479
8184,15010
11211,12686
8188,19071
6920,12255
14492,12828
9192,12398
18028,15436
13982,6446
19544,16595
8436,14284
11468,17763
11963,7318
20804,14708
18527,9343
7171,10949
20047,15144
19036,13984
12222,13846
17517,8184
10956,10220
20298,13838
16765,13551
12983,18342
13482,11959
7426,13995
12725,11814
14245,18485
18781,10358
6924,17187
10200,11236
6414,11095
14241,14424
19542,15144
7430,18347
14496,16890
9447,15154
12223,15006
15502,13117
10703,9495
14751,19645
9952,16313
8687,12978
11214,15587
8431,8772
14744,11812
14244,17615
13226,8333
20047,15434
16763,12391
11463,11961
17264,8039
5912,13706
13238,21387
12217,8333
6924,16896
13735,12684
13224,6012
20300,15869
16766,15292
17780,19643
17269,12971
11217,19649
10704,9785
9444,12833
10453,11381
16002,8185
20301,16449
13237,20517
10462,21245
10712,19069
18533,16016
15253,16744
10449,7320
20548,10792
10707,13267
17017,13406
13229,10944
14741,9202
12220,11525
11214,15877
15000,16309
16766,15582
19790,9487
6666,10949
5910,11966
17021,18048
7174,13560
16519,20659
16012,18629
19031,8472
20801,12097
10963,17183
7423,9933
10451,9641
13743,21677
17517,8474
12470,9059
20043,11082
6413,9934
10459,18054
19537,9632
6670,15011
20552,14853
8179,8917
15749,7170
7424,11384
19289,14419
16005,11376
19543,15435
15250,13553
19544,17175
14749,17905
16507,7894
7424,11094
13487,18051
14996,11667
15755,13842
20801,11517
6669,13560
13486,16891
8440,18346
10702,7755
7935,18056
19286,10358
11212,13266
10707,13847
13485,15730
10460,18924
16256,9780
10453,11961
12725,12685
16265,19354
19032,8762
13982,7026
10708,15007
13233,15585
19288,13259
14747,15294
12724,10654
18023,9924
20553,16884
12978,13410
7930,12544
14495,16019
8432,9352
6167,16462
16507,8185
5914,15737
13986,11378
8684,9497
17526,18628
9951,14863
9945,8481
13990,15440
19537,9052
20301,16739
15758,17034
18028,14856
12472,11089
15245,7460
15256,20515
7178,18492
14489,9347
14500,21531
14742,10362
9695,11237
20549,11662
15257,21676
6165,14431
17779,18772
12215,6593
17519,10795
20299,14999
13489,20082
12979,13990
13229,11234
12481,21533
17011,7314
12471,10509
8188,18781
18535,17176
13225,7172
12979,13700
7676,11239
16013,20079
11216,18198
10714,20809
10701,7174
13983,8187
11976,21243
10209,20520
15244,6590
9956,20085
14995,10797
18536,18917
8944,18055
9197,18200
17015,11955
11723,21099
17516,7023
6666,10659
9190,10657
16003,8765
17018,14276
16005,11086
8686,10948
10457,16603
17264,7459
20805,15869
12472,11669
19285,9488
13989,13989
12468,7608
12724,10944
13988,13699
8686,11238
10964,18343
9694,9496
5658,12401
13993,18921
18789,19352
17524,16017
14748,17034
20301,17320
11465,13991
18528,9923
15754,12972
11975,20663
12985,20952
12977,11959
12474,14280
6166,15882
12981,16311
18275,9198
13741,19646
10964,18924
13989,14569
15762,21095
20803,13838
12223,15296
14492,11958
7935,17766
10712,18779
18031,18047
16510,11376
17518,9924
15253,16454
18527,9053
13228,10653
8182,12109
6919,11674
8693,18781
15501,12247
12227,19938
7932,14575
17270,14131
12479,18922
11458,7029
8441,20086
9441,8481
18283,17902
10449,7030
12224,16747
8939,11963
13730,7172
14494,15149
16264,18774
14247,20226
17779,19062
16763,11521
17273,17322
13484,14570
7928,10513
16768,17903
8683,8627
17014,10215
19288,13549
6926,18637
21055,13112
14500,20951
14248,21386
17771,9779
9196,17330
9697,13558
10200,10946
10202,13557
19793,12968
18527,8473
13737,14424
13990,15730
16514,16017
11465,14281
11461,9640
17270,14421
15248,10652
13488,18921
14244,17325
12733,21388
12478,18052
10962,16313
9190,10367
11469,19213
11974,18923
8694,20521
8692,18200
16006,11956
18526,8183
6420,17187
11720,17037
15509,21240
16513,14857
18275,9488
20801,11807
19791,10648
9443,11092
14494,14859
18032,20078
10205,17039
20552,15143
11719,16457
8435,12834
5910,11675
7936,19797
12225,17037
20043,10212
16507,7604
14245,18776
12977,11669
13478,7897
12478,18342
8432,9932
8439,16895
18787,17321
11468,17182
17266,10070
13988,12829
20551,13983
14999,15149
11213,15297
12220,11815
16518,20079
12218,9784
7934,17186
12974,8478
19285,9778
20048,16594
18530,11664
12720,6302
14497,17760
12975,9058
14240,12973
18283,17611
15503,13698
20552,15434
11715,11815
11466,15152
19796,17030
11461,9930
8441,19506
11967,11090
18528,10213
11469,18633
8685,10658
10204,15588
16010,16598
13481,10508
19790,9777
19796,16160
19545,17755
18021,7893
11717,13846
